name,genre,country,chanel,start,end
隐藏的歌手,选秀,韩国,上海娱乐频道,2015,2016
赢在中国·蓝天碧水间,真人秀,原创,江苏卫视,2013,2016
勇敢的心,真人秀,原创,北京卫视,2014,2014
与星共舞,真人秀,美国,东方卫视,2014,2015
遇见男神,真人秀,原创,安徽卫视,2015,2016
原来是你,真人秀,原创,江苏卫视,2015,2015
圆桌派,脱口秀,原创,优酷土豆,2016,2017
缘来非诚勿扰,选秀,澳大利亚,江苏卫视,2010,2017
远方的爸爸,真人秀,原创,江苏卫视,2015,2015
约吧！大明星,真人秀,原创,腾讯视频,2016,2017
咱们穿越吧 ,真人秀,韩国,天津卫视,2015,2016
造梦者,选秀,原创,北京卫视,2015,2015
掌声响起来,真人秀,原创,浙江卫视,2015,2015
这就是生活,真人秀,原创,浙江卫视,2014,2015
真爱在囧途,真人秀,原创,东南卫视,2014,2014
真心英雄,真人秀,原创,江苏卫视,2016,2016
真正男子汉 ,真人秀,韩国,湖南卫视,2015,2017
争分夺秒,选秀,美国,东方卫视,2013,2017
正大综艺,真人秀,原创,CCTV,1990,2017
芝麻开门,选秀,以色列,江苏卫视,2013,2017
职来职往,选秀,原创,江苏卫视,2010,2017
职人介绍所 ,脱口秀,原创,爱奇艺,2016,2017
中国超模,真人秀,原创,重庆卫视,2015,2015
中国成语大会 ,选秀,原创,CCTV,2016,2017
中国达人秀 ,选秀,英国,东方卫视,2010,2015
中国汉字听写大会,选秀,原创,CCTV,2013,2015
中国好歌曲,选秀,原创,CCTV,2014,2016
中国好男儿,真人秀,原创,广东卫视,2014,2015
中国好声音 ,选秀,荷兰,浙江卫视,2012,2016
中国好舞蹈,选秀,美国,浙江卫视,2014,2014
中国梦想秀,选秀,英国,浙江卫视,2011,2016
中国梦之声 ,选秀,美国,东方卫视,2013,2014
中国情歌汇,选秀,原创,云南卫视,2016,2017
中国诗词大会,选秀,原创,CCTV,2016,2017
中国式相亲,脱口秀,原创,东方卫视,2016,2017
中国味道,真人秀,原创,CCTV,2013,2016
中国新声代,选秀,原创,湖南卫视,2013,2016
中国星力量,选秀,韩国,山东卫视,2016,2016
中国星跳跃,真人秀,德国,浙江卫视,2011,2011
中国音超,选秀,原创,深圳卫视,2013,2014
中国正在说,脱口秀,原创,东南卫视,2016,2017
中国正在听,选秀,以色列,CCTV,2014,2014
中国之星,真人秀,原创,东方卫视,2015,2016
中国最强音,选秀,英国,湖南卫视,2013,2013
中韩梦之队,真人秀,原创,深圳卫视,2015,2015
中华好故事,选秀,原创,浙江卫视,2014,2017
中华好诗词 ,脱口秀,原创,贵州卫视,2013,2017
壮志凌云,真人秀,原创,江苏卫视,2015,2015
综艺大观,真人秀,原创,CCTV,1990,2004
最高档,真人秀,英国,湖南卫视,2011,2017
最美和声,选秀,美国,北京卫视,2013,2015
最强大脑 ,选秀,德国,江苏卫视,2014,2017
最强天团,真人秀,原创,江苏卫视,2014,2014
作战吧偶像,真人秀,原创,腾讯视频,2016,2017
